Comment,Emotion,Clean_Comment
i hope that the next quote will be able to let my special someone knows what im feeling insecure about and understand that no matter how much i trust,fear,hope next quote able let special someone know im feeling insecure understand matter much trust
i feel much better and without the help of ice,joy,feel much better without help ice
i am sitting here typing this and wondering where i belong feeling distracted feeling comfortable feeling misunderstood and hurt,anger,sitting typing wondering belong feeling distracted feeling comfortable feeling misunderstood hurt
i still feel its a little shaky at times and can move into the slightly odd jades hair in particular seems prone to this but generally it works well with spencers writing,fear,still feel little shaky time move slightly odd jade hair particular seems prone generally work well spencer writing
i stropped about for a bit feeling grumpy because i was missing out,anger,stropped bit feeling grumpy missing
i have a feeling i shall go mad,anger,feeling shall go mad
i am happpy when i get good results in the field of academics or athletics,joy,happpy get good result field academic athletics
i got the feeling brig is sincere and has a very strong desire to help others become successful both financially and also through building strengthening relationships through christianity,joy,got feeling brig sincere strong desire help others become successful financially also building strengthening relationship christianity
im feeling deeply overwhelmed by these ordinary tasks,fear,im feeling deeply overwhelmed ordinary task
i feel so grouchy and irritable when im sick,anger,feel grouchy irritable im sick
i feel my heart shaky all the time now,fear,feel heart shaky time
i expect and i feel content with that,joy,expect feel content
i feel amused at the absurdity of it all,joy,feel amused absurdity
i end up getting unwanted attention from boys i want little to do with or ill be sort of starting something with a boy then find myself flirtiing with others in his presence or ill feel really insincere around boys that i do like,anger,end getting unwanted attention boy want little ill sort starting something boy find flirtiing others presence ill feel really insincere around boy like
i just couldnt help feeling a little bit bitter towards his great big happy grin,anger,couldnt help feeling little bit bitter towards great big happy grin
i go back to my point about what an easy sell getting folk to feel really virtuous for not doing what they dont want to do anyway,joy,go back point easy sell getting folk feel really virtuous dont want anyway
im feeling a bit more sociable now although i dont think ill be able to express everything i want to say,joy,im feeling bit sociable although dont think ill able express everything want say
i would feel joyful,joy,would feel joyful
at a certain situation i felt myself neglected and undeservedly harmed,anger,certain situation felt neglected undeservedly harmed
i felt good and feel fine today too,joy,felt good feel fine today
i looked at what had happened to us in two generations and looked at what hadn t happened to them in two or three and instead of feeling outraged by their history of aggression i felt privileged by it,anger,looked happened u two generation looked happened two three instead feeling outraged history aggression felt privileged
im feeling slightly optimistic,joy,im feeling slightly optimistic
i feel and some is just a hateful of hollow yes i hear many smiths these days,anger,feel hateful hollow yes hear many smith day
im still feeling indecisive im polling yall p,fear,im still feeling indecisive im polling yall p
sometime back another girl who was in terms with my exboyfriend came to shout at me at twelve midnight it was because she thought i was still interested in the boy,anger,sometime back another girl term exboyfriend came shout twelve midnight thought still interested boy
id start feeling resentful that i lived in a part of the country where the sun stubbornly refuses to show itself after the end of september,anger,id start feeling resentful lived part country sun stubbornly refuse show end september
i just feel so fucked up these days,anger,feel fucked day
i confess that i was feeling nervous as i made my way to the event venue,fear,confess feeling nervous made way event venue
i was really worried that i would feel intimidated by monica but when we met that morning she was incredibly welcoming and made me feel relaxed straight away,fear,really worried would feel intimidated monica met morning incredibly welcoming made feel relaxed straight away
i was sick with a cold amp not feeling well wondering if i would even be able to have the patience to go to whitleys month photo shoot,joy,sick cold amp feeling well wondering would even able patience go whitleys month photo shoot
i feel like i have been a bit obnoxious in my picture posting,anger,feel like bit obnoxious picture posting
i feel morally outraged and furious more often than i d like,anger,feel morally outraged furious often like
i feel pissed my friend didnt offer me a soda,anger,feel pissed friend didnt offer soda
i feel our hearts are treading dangerous territory,anger,feel heart treading dangerous territory
i feel frightened by it all,fear,feel frightened
i know it was not pleasant for her and i feel selfish saying it but i think i would have fallen apart if i had been there,anger,know pleasant feel selfish saying think would fallen apart
i feel shafted or greedy,anger,feel shafted greedy
i have just had such a crappy week that i am still feeling all agitated and like the day wasn t what i wanted,fear,crappy week still feeling agitated like day wanted
i feel rebellious because i don t particularly like watching romcoms but i get the feeling that i may be pretty good at writing them,anger,feel rebellious particularly like watching romcoms get feeling may pretty good writing
i feel reluctant to just leave her alone like that without helping her enough to repay her goodness to me,fear,feel reluctant leave alone like without helping enough repay goodness
i am ashamed when i feel like that the moment i see terrified crying children and dead ones,fear,ashamed feel like moment see terrified cry child dead one
i wake up in the morning and have my voice and my throat feels ok but by the afternoon its all scratchy again and i sound like marge simpson until the night when its so bad and my throat is so sore i just have to whisper,joy,wake morning voice throat feel ok afternoon scratchy sound like marge simpson night bad throat sore whisper
ive always been very nervous to do something like that as i feel like i am not really that talented to enter something into an official contest,joy,ive always nervous something like feel like really talented enter something official contest
i feel a bit pissed off because we went first,anger,feel bit pissed went first
i feel satisfied knowing the dirt and hair is no longer in the car and house,joy,feel satisfied knowing dirt hair longer car house
i really like how the special edition really does feel special with songs on it,joy,really like special edition really feel special song
i would accept your gift without feeling mad,anger,would accept gift without feeling mad
i feel hesitant to do it since i don t have any experience with programming and all,fear,feel hesitant since experience programming
i was feeling particularly bitchy and i dont think i adequately expressed my appreciation for that,anger,feeling particularly bitchy dont think adequately expressed appreciation
i do feel confused,fear,feel confused
im with you when your professor looks at you like a spitball when your friend is dying when you cry into your pillow at night when you feel the dangerous tickles of jealousy luring you down into its lair,anger,im professor look like spitball friend dying cry pillow night feel dangerous tickle jealousy luring lair
i didn t feel rushed to finish millions of things and i was able to focus on each task separately,anger,feel rushed finish million thing able focus task separately
i feel so tortured,anger,feel tortured
i dunno how it feels to be completely happy the real world has taught me about struggle but what i m going thru is nothing close to struggle,joy,dunno feel completely happy real world taught struggle going thru nothing close struggle
i feel like she has taken on the role of a grandmother to me since my beloved grandma is no longer with me,joy,feel like taken role grandmother since beloved grandma longer
i fear that other people ask me about my feelings i am most reluctant to talk about things,fear,fear people ask feeling reluctant talk thing
i would have smiled except i was starting to feel like any more uptight comments and my jaw would fall right out of my head,fear,would smiled except starting feel like uptight comment jaw would fall right head
i feel so comfortable around him,joy,feel comfortable around
i feel completely unsure of any boundaries or normalcy,fear,feel completely unsure boundary normalcy
i think of or feel gratitude i think of my kind and gracious heavenly father,joy,think feel gratitude think kind gracious heavenly father
im feeling really really left out and somewhat dissatisfied with everything,anger,im feeling really really left somewhat dissatisfied everything
i simply said how sorry i am and just got out from her car and got into my house feeling restless,fear,simply said sorry got car got house feeling restless
i am feeling weird and feel wanna know,fear,feeling weird feel wanna know
i had an incredible feeling of frantic despair,fear,incredible feeling frantic despair
i feel reluctant to sell but hey,fear,feel reluctant sell hey
i take a long sip and feel the cold sensation of the iced capp,anger,take long sip feel cold sensation iced capp
i wasn t feeling pressured even if this was the longest race and the one i expected the most from,fear,feeling pressured even longest race one expected
i also hope you understand why i feel so angry with you when you dont support the hat rule or when you turn up at a school event sans hat yourself,anger,also hope understand feel angry dont support hat rule turn school event sans hat
i remember feeling the most terrified i had ever felt in my entire life and that its still affecting me now but ive never thought it accounted to trauma,fear,remember feeling terrified ever felt entire life still affecting ive never thought accounted trauma
i had for me to confess my feelings for her but still i couldnt bring myself to her for i was scared of losing her once more,fear,confess feeling still couldnt bring scared losing
im clearly influenced by the dash happiness of emily dickinson for example and i use dashes instead of colons or semi colons to enhance the feelings of rushed enjambment in the sonnet,anger,im clearly influenced dash happiness emily dickinson example use dash instead colon semi colon enhance feeling rushed enjambment sonnet
i pray that the eyes that read this the minds that comprehend this and the hearts that feel this will not be offended,anger,pray eye read mind comprehend heart feel offended
im not afraid of going on my own but i feel like a lot of people were in groups and a part of me feels like it would be cool to have a small group to hang out with,joy,im afraid going feel like lot people group part feel like would cool small group hang
the possibility of having failed the examination,fear,possibility failed examination
i feel so thankful to be in a part of the country where i can train outdoors this late in the year and not have to bundle up or wear several layers,joy,feel thankful part country train outdoors late year bundle wear several layer
i am feeling rather grouchy too this morning since i didnt sleep last night on purpose,anger,feeling rather grouchy morning since didnt sleep last night purpose
i feel like the earthquake has also shaken the foundations of my life and work,fear,feel like earthquake also shaken foundation life work
i might be able to recreate the feeling when i get back into the cold fog that awaits me tomorrow night,anger,might able recreate feeling get back cold fog awaits tomorrow night
i woke up feeling positive i was totally in the mood for doing this and this evening i feel the same i had a banana shake for breakfast a chocolate shake for dinner and a sunday roast for tea,joy,woke feeling positive totally mood evening feel banana shake breakfast chocolate shake dinner sunday roast tea
i would just go to the straight point rather than doing a defination of such as what is romance feeling or anger feeling or suspicious feelings,fear,would go straight point rather defination romance feeling anger feeling suspicious feeling
i feel so bitchy and mean and terrible,anger,feel bitchy mean terrible
i feel envious that they can keep their posts regular and interesting and wish that i could feel this way to,anger,feel envious keep post regular interesting wish could feel way
i feel like him try to stay as faithful as possible to what he perceives as the real events that happened in that mountain,joy,feel like try stay faithful possible perceives real event happened mountain
i feel assaulted the new kid whined,fear,feel assaulted new kid whined
ive had a long road of that initially feeling like i was being rude for turning down food that was made brought for me and sometimes eating stuff because it was gluten free and looked delicious even if it maybe wasnt what i felt good about eating some really mediocre wedding cake for example,anger,ive long road initially feeling like rude turning food made brought sometimes eating stuff gluten free looked delicious even maybe wasnt felt good eating really mediocre wedding cake example
i wanted to make sure i didnt feel rushed getting to century college on friday afternoon,anger,wanted make sure didnt feel rushed getting century college friday afternoon
id kick myself into gear but i just feel irritable with no motivation what so ever,anger,id kick gear feel irritable motivation ever
i feel so much more productive at college and so to keep that productivity in full gear ill have to chalk up some ideas for art projects this summer train an army of attack pigeons and take over a tiny and uninhabited island,joy,feel much productive college keep productivity full gear ill chalk idea art project summer train army attack pigeon take tiny uninhabited island
i have a feeling that your father already convinced him of that,joy,feeling father already convinced
i feel im not bothered by that,anger,feel im bothered
i p i could sit here and beat myself up over it all but im feeling far to rebellious for that today basically im feeling angry at the world and at myself all at the same time,anger,p could sit beat im feeling far rebellious today basically im feeling angry world time
im totally feeling bitchy and resentful about it,anger,im totally feeling bitchy resentful
i drove to class i was feeling a little apprehensive but still no sweat,fear,drove class feeling little apprehensive still sweat
i feel so wronged but what can i do,anger,feel wronged
i feel so weird that it feels like i wanna curse everything and bang my head onto the wall so that my world will be back to its focus,fear,feel weird feel like wanna curse everything bang head onto wall world back focus
i feel suspicious of wrinkle prevention beauty products for some reason,fear,feel suspicious wrinkle prevention beauty product reason
i feel you see frantic and thus i am afraid,fear,feel see frantic thus afraid
i am feeling so grumpy today,anger,feeling grumpy today
i feel that i have gotten to know the students pretty well and i talk to the parents if they drop their students off for the day,joy,feel gotten know student pretty well talk parent drop student day
i cant help but feel suspicious of everything,fear,cant help feel suspicious everything
i say we because it makes all the difference as a parent when you have an open and easy to talk to teacher who you really feel is the perfect fit for your child,joy,say make difference parent open easy talk teacher really feel perfect fit child
i feel a little bit frightened of islam,fear,feel little bit frightened islam
im with her i feel terrific,joy,im feel terrific
i feel like this insecurity is a good thing when i first started writing i pictured it all,joy,feel like insecurity good thing first started writing pictured
i even had a deep feeling for alaska and the cold and snowy and yet big open land with the pine trees and mountains but im destined to live in southern california,anger,even deep feeling alaska cold snowy yet big open land pine tree mountain im destined live southern california
i didn t feel like she was shy so much as taking it all in as her mother has described her,fear,feel like shy much taking mother described
i feel like any time anyone gets into the ring with him they are so intimidated by his arms and legs they dont even really try,fear,feel like time anyone get ring intimidated arm leg dont even really try
im feeling cranky cantankerous and resentful like a house slave basically almost all the mothers i know rely heavily on either alcohol marijuana or separation divorce to get some space and sanity for themselves away from their maternal responsibilities,anger,im feeling cranky cantankerous resentful like house slave basically almost mother know rely heavily either alcohol marijuana separation divorce get space sanity away maternal responsibility
i was going crazy thank god i have a craving for fruits and chocolate it made me go out in the cold with a gross wind blowing in my neck feeling mad and angry and crappy,anger,going crazy thank god craving fruit chocolate made go cold gross wind blowing neck feeling mad angry crappy
im not convinced that it all makes since because the talking never feels sincere in its execution and maybe the themes in life seem to large to ever fathom but what s the point when it already feels like an emotionless pit of self craving attention,joy,im convinced make since talking never feel sincere execution maybe theme life seem large ever fathom point already feel like emotionless pit self craving attention
i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town,fear,begun feel apprehensive thick black rain cloud stormed sky town
i think that they pop up so automatically because seeing those pictures or people makes me feel insecure about myself,fear,think pop automatically seeing picture people make feel insecure
i shut the door but i didn t feel triumphant,joy,shut door feel triumphant
i could even feel his cold breath on my neck whispered hertha as she ran her fingers across the side of neck,anger,could even feel cold breath neck whispered hertha ran finger across side neck
i feel like life gave me a plenty of changes to shine and i pissed all over each and every one of them,anger,feel like life gave plenty change shine pissed every one
i was feeling grumpy not women problems grumpy but five year old i want to get my way kind of grumpy you don t think there s a difference,anger,feeling grumpy woman problem grumpy five year old want get way kind grumpy think difference
i feel like im back in my element and very pleased to be surrounded by adorable tiny garments,joy,feel like im back element pleased surrounded adorable tiny garment
i know you feel tortured reading this,anger,know feel tortured reading
i have a feeling hell be a casual favorite if blue or red are heavy colors at your casual tables otherwise i could see it in tournament decks while red is popular and possibly when if blue steps in its place one zendikar block rotates out,joy,feeling hell casual favorite blue red heavy color casual table otherwise could see tournament deck red popular possibly blue step place one zendikar block rotates
i think this is a valid complaint for those who arent willing to deal with it this aspect i imagine will be rather subjective but it makes sure that the cover based moments still feel dangerous despite being in cover,anger,think valid complaint arent willing deal aspect imagine rather subjective make sure cover based moment still feel dangerous despite cover
i feel like it must be a popular choice to have alterations done elsewhere,joy,feel like must popular choice alteration done elsewhere
i feel bothered,anger,feel bothered
i have noticed that if i go with out i start to feel irritated at him or easily annoyed by the things he does i feel this tiny ache inside of me almost unnoticeable the first few days as if a tiny hair had burrowed its way into my foot,anger,noticed go start feel irritated easily annoyed thing feel tiny ache inside almost unnoticeable first day tiny hair burrowed way foot
i said without emotion while feeling a freaked out fearful anxiety welling up in my chest,fear,said without emotion feeling freaked fearful anxiety welling chest
i understand that any of my extremely positive attributes and there are some are overshadowed by my weakness and subconsciously some people are wired up to feel superior to others and thereby treat them differently,joy,understand extremely positive attribute overshadowed weakness subconsciously people wired feel superior others thereby treat differently
i find it very hard to feel relaxed for more than hours,joy,find hard feel relaxed hour
i am just feeling grumpy and sore,anger,feeling grumpy sore
i just make assumptions based on what i see think feel i ve wondered this before with strange things,fear,make assumption based see think feel wondered strange thing
i feel your motivation will be satisfied when you read this write up also who understands,joy,feel motivation satisfied read write also understands
i walk in the door to my house i feel happy,joy,walk door house feel happy
i feel more terrified than the customers will be in my maze,fear,feel terrified customer maze
i found these emails from scott dale and just reading them frusterated me so much that i feel the need to post them and show the world what a neurotic freak he was is,fear,found email scott dale reading frusterated much feel need post show world neurotic freak
i have been neglecting the feeling of people around me i was stubborn,anger,neglecting feeling people around stubborn
i have been sneakily listen to x mas music since the beginning of october but now i feel as if it is a little more socially acceptable to prance around while eartha kitt s version of santa baby blares from my ipod,joy,sneakily listen x ma music since beginning october feel little socially acceptable prance around eartha kitt version santa baby blare ipod
i didn t feel as terrified or as nervous as i normally would in that type of situation,fear,feel terrified nervous normally would type situation
i typically respond when i feel offended,anger,typically respond feel offended
i am wearing and feeling confident about myself,joy,wearing feeling confident
i feel like i am as fearful now as i was when i first threw my leg over the top tube after my surgery,fear,feel like fearful first threw leg top tube surgery
i feel unprotected if i do though,fear,feel unprotected though
im feeling artistic today,joy,im feeling artistic today
i confess to feeling a bit nervous now though there are some very talented people in the group,fear,confess feeling bit nervous though talented people group
i managed to eat more than i usually can on race morning mostly because jon was there and i didnt feel quite as nervous,fear,managed eat usually race morning mostly jon didnt feel quite nervous
i had never read the posts i never would have spent the emotional and mental energy to argue with them in my head or feel irritated by them,anger,never read post never would spent emotional mental energy argue head feel irritated
i feel pressured at times to succumb to fear and insecurities but thankfully i am still able to hold it on my own,fear,feel pressured time succumb fear insecurity thankfully still able hold
i feel my strengths are that i m very determined motivated in the workout room,joy,feel strength determined motivated workout room
im feeling doubtful about my writing dreams to know shes behind me,fear,im feeling doubtful writing dream know shes behind
i feel so enraged that i want to punch him but i don t because he s only years old,anger,feel enraged want punch year old
i get into what it actually does i feel like everyone should buy it just because it smells amazing,joy,get actually feel like everyone buy smell amazing
i think the sooner we do the better well all feel greg im already in a distressed mood mom,fear,think sooner better well feel greg im already distressed mood mom
im so excited but feeling kind of shy about it smile,fear,im excited feeling kind shy smile
i wear it i feel anxious visable spotlighted different unfashionable stupid embarrassed ashamed and paranoid,fear,wear feel anxious visable spotlighted different unfashionable stupid embarrassed ashamed paranoid
i feel like im back to the arms of a beloved last seen a long time ago,joy,feel like im back arm beloved last seen long time ago
i feel satisfied and happy with my choices today,joy,feel satisfied happy choice today
i walked away feeling inspired and excited about realistic things i could do to increase my blog s chances for being found,joy,walked away feeling inspired excited realistic thing could increase blog chance found
i feeling confused with my life and want to know why my life,fear,feeling confused life want know life
i looked around and once again was disappointed that so little had shown up this evening but apparently this was my day to feel selfish,anger,looked around disappointed little shown evening apparently day feel selfish
i was feeling and i said impatient,anger,feeling said impatient
i feel very reluctant to blog during my free period even when my hp is plugged to my laptop for charging making it easy to upload photos online,fear,feel reluctant blog free period even hp plugged laptop charging making easy upload photo online
i always notice even though she is fabulous at hiding it according to the rest of the world and feel it keenly and am greatly distressed,fear,always notice even though fabulous hiding according rest world feel keenly greatly distressed
i got a stitch in my side during the first mile couldnt feel my feet it was so cold etc etc,anger,got stitch side first mile couldnt feel foot cold etc etc
i feel uncomfortable when i need to sit through a bad presentations,fear,feel uncomfortable need sit bad presentation
i feel there are other options that not as violent probably more costly yet equally futile so whats the problem with keeping our men and women out of harms way,anger,feel option violent probably costly yet equally futile whats problem keeping men woman harm way
ive collected as i feel its vital to create something precious from those items as a tribute to the earth and its power generosity,joy,ive collected feel vital create something precious item tribute earth power generosity
i feel as though i fucked up so majorly this summer that im cast off into an alternate universe that i went the wrong way on a timeline and im stuck in a world that the same as the one i knew in all but one way,anger,feel though fucked majorly summer im cast alternate universe went wrong way timeline im stuck world one knew one way
i friends helping them to dress up and practise their thai introduction session while i sat there feeling helpless,fear,friend helping dress practise thai introduction session sat feeling helpless
i feel helpless because i cannot stop it,fear,feel helpless cannot stop
im feeling disgusted already but seriously though i dont really like to have my pictures taken cause ive always referred to myself as ugly,anger,im feeling disgusted already seriously though dont really like picture taken cause ive always referred ugly
i do feel very angered though,anger,feel angered though
i am feeling very virtuous today,joy,feeling virtuous today
i just feel so good inside when i see people walking away with their own handmade pieces of,joy,feel good inside see people walking away handmade piece
i went to see my pcm on post for a follow up appointment and i left feeling hopeful and optimistic,joy,went see pcm post follow appointment left feeling hopeful optimistic
i wish that the girl he asked to prom had accepted his invitation that way i couldve been heartbroken and done with my feeling for him but now im just so indecisive,fear,wish girl asked prom accepted invitation way couldve heartbroken done feeling im indecisive
im still feeling all wimpy it may be another skip around,fear,im still feeling wimpy may another skip around
i didnt feel safe in my room because the argument was going on in my room and things were getting rough,joy,didnt feel safe room argument going room thing getting rough
im not feeling pissed off about picking up those toys,anger,im feeling pissed picking toy
im feeling so goddamn pissed and just,anger,im feeling goddamn pissed
i hopped on the scale this morning feeling none too optimistic,joy,hopped scale morning feeling none optimistic
i appreciate the award i feel there are so many wonderful blogs out there that we are all winners,joy,appreciate award feel many wonderful blog winner
i want to not feel shy with them i want to have fun with them,fear,want feel shy want fun
i should have left this movie feeling frightened or at the very least convinced that this number held some kind of mystical power or was the key to some government conspiracy but no,fear,left movie feeling frightened least convinced number held kind mystical power key government conspiracy
i always feel i always understand that the people who are being the most hateful and harmful towards me are hurting themselves and taught wrongly and i hurt for them because i want to go back and undo the pain and childhood bigotry that binds their lives into this path,anger,always feel always understand people hateful harmful towards hurting taught wrongly hurt want go back undo pain childhood bigotry bind life path
i am feeling extremely pleased with myself and i decide to give the guy another rupees,joy,feeling extremely pleased decide give guy another rupee
i feel tortured every moment and theres nowhere i can go to get away from it or to get back to what i was used to,anger,feel tortured every moment there nowhere go get away get back used
im feeling brave this would be nice with black tips,joy,im feeling brave would nice black tip
i know who all think this way so i ve always feel skeptical about painting my nails red since i also have light skin so the red is really going to stand out is there a cute way for a year old to wear red nails without looking like she s trying too hard or looking like a hooker,fear,know think way always feel skeptical painting nail red since also light skin red really going stand cute way year old wear red nail without looking like trying hard looking like hooker
in ward a was an epileptic patient who was burnt the whole body and was stinking very much such that the whole ward was affected few people could come near him,anger,ward epileptic patient burnt whole body stinking much whole ward affected people could come near
i have grown accustomed to the creative freedom of living by myself i can dance around my house and write songs and play guitar without feeling inhibited by the eyes and ears of others,fear,grown accustomed creative freedom living dance around house write song play guitar without feeling inhibited eye ear others
i is an extremely positive feeling a divine energy who alone can take our quaking boat to the shore,joy,extremely positive feeling divine energy alone take quaking boat shore
i feel in the long run this hurts paulie as you could visibly see how distraught he was with the result and the perception of his performance,fear,feel long run hurt paulie could visibly see distraught result perception performance
i also wouldnt mind a canon d mark iii if anyone is feeling generous,joy,also wouldnt mind canon mark iii anyone feeling generous
i wonder how genentech feel about a hostile takeover by its global partner,anger,wonder genentech feel hostile takeover global partner
i feel that when i run i that is me sarah the mind am supporting this body,joy,feel run sarah mind supporting body
i feel truly impatient that this is taking so long,anger,feel truly impatient taking long
i feel really greedy wanting all this stuff but my mom asked me to make a list so,anger,feel really greedy wanting stuff mom asked make list
i feel popular but they dont want to be taught and they wont get married before the get baptized so they cant obviously,joy,feel popular dont want taught wont get married get baptized cant obviously
i dont hate you i just honestly feel so bitter towards you atm,anger,dont hate honestly feel bitter towards atm
i don t particularly have too much to say on it as it works well but doesn t particularly feel like it s something very clever or new,joy,particularly much say work well particularly feel like something clever new
i sometimes feel hated but i am not it is all in my head,anger,sometimes feel hated head
i was feeling pretty anxious and overwhelmed as a friend rightly noted probably because i was on a boat with my mom grandmother and great aunt and no where to flee except the damn cold baltic sea,fear,feeling pretty anxious overwhelmed friend rightly noted probably boat mom grandmother great aunt flee except damn cold baltic sea
i feel like i need cute pictures to share,joy,feel like need cute picture share
i wake up feeling triumphant,joy,wake feeling triumphant
i find it hard to feel jolly when throngs of people around me are so lost in the fervor of getting stuff that they cant see their heart for the green in their wallet encouraged by the constant barrage and pressure from every angle to shop here and buy more,joy,find hard feel jolly throng people around lost fervor getting stuff cant see heart green wallet encouraged constant barrage pressure every angle shop buy
i am left feeling very confused and blah,fear,left feeling confused blah
i got a feeling by the look in her eyes that she was sincere,joy,got feeling look eye sincere
i can think about is how lonely i feel im all grouchy and agitated and esily airritated,anger,think lonely feel im grouchy agitated esily airritated
ive decided to intentionally make it easier on myself even though it makes me feel wimpy admitting that is the reason but this girl does have to work a day job,fear,ive decided intentionally make easier even though make feel wimpy admitting reason girl work day job
im watching a movie called sharknado i feel like my intelligence is being insulted,anger,im watching movie called sharknado feel like intelligence insulted
i am feeling apprehensive about this move and worried i have blown all my money that was meant to pay my rego,fear,feeling apprehensive move worried blown money meant pay rego
i still feel like i get walked all over but well i m trying,joy,still feel like get walked well trying
i told her that we cannot continue this way and when she is starting to feel frustrated she has to let me know in a calm way,anger,told cannot continue way starting feel frustrated let know calm way
i felt like the boys were disadvantaged missing out on all the exciting entertainments at home for children but now i feel like they have had a precious opportunity to get close and familiar with nature,joy,felt like boy disadvantaged missing exciting entertainment home child feel like precious opportunity get close familiar nature
i was capable of doing the same as of late ive been feeling pretty bitter and depressed and not a lot of gratitude in general,anger,capable late ive feeling pretty bitter depressed lot gratitude general
i can feel their joy and excitement for the opportunity to receive these vital ordinances,joy,feel joy excitement opportunity receive vital ordinance
i worry about all of the time ive been spending on the computer and about how i feel so distracted by the party,anger,worry time ive spending computer feel distracted party
i feel like i cant be brave,joy,feel like cant brave
i wish i could call off the wedding just so i can feel carefree again,joy,wish could call wedding feel carefree
i didnt feel scared at all,fear,didnt feel scared
i feel really contented just listening to the song,joy,feel really contented listening song
i dont know who i like i feel so bitchy and flirty,anger,dont know like feel bitchy flirty
ive had this urgent feeling to write to you and tell you how the files make me feel but have felt hesitant because of fear as to where it will lead me,fear,ive urgent feeling write tell file make feel felt hesitant fear lead
i started to develop feelings for you they scared me and i freaked out but you promised me that i was safe,fear,started develop feeling scared freaked promised safe
i guess avoiding the boundaries conversation with him has me feeling a little unsure about my confidence and strength,fear,guess avoiding boundary conversation feeling little unsure confidence strength
im so damn tired and i feel a little grouchy,anger,im damn tired feel little grouchy
i was feeling quite something im not sure,joy,feeling quite something im sure
i feel rude feel free to grab the seat next to me,anger,feel rude feel free grab seat next
im contemplating and feeling skeptical,fear,im contemplating feeling skeptical
i feel irritated useless and hopeless,anger,feel irritated useless hopeless
i don t feel bothered about it getting credit equals getting debt and i have no interest in doing that again,anger,feel bothered getting credit equal getting debt interest
i hurt your feelings or angered you with my last rant im sorry,anger,hurt feeling angered last rant im sorry
i was feeling angry at myself for feeling self conscious about my shorts or for wishing that i wasnt alone,anger,feeling angry feeling self conscious short wishing wasnt alone
i feel petty things but not to the extent that humans seem to feel them wars have been started over stupid little things and try as i might i cannot understand how things such as loving two people or feeling jealous can lead to murder and unhappiness,anger,feel petty thing extent human seem feel war started stupid little thing try might cannot understand thing loving two people feeling jealous lead murder unhappiness
i was feeling pretty cranky this morning and stopping in here really made me feel a lot better,anger,feeling pretty cranky morning stopping really made feel lot better
i was just yesterday feeling uncomfortable with highschool sigh,fear,yesterday feeling uncomfortable highschool sigh
i feel better now on the menu tonight,joy,feel better menu tonight
i feel so hesitant to say anything positive trying to hold my breath so to speak because none of this really matters until i know that shaun has passed the dlpt,fear,feel hesitant say anything positive trying hold breath speak none really matter know shaun passed dlpt
i feel stressed out i would watch movies alone or just walk on the streets alone,anger,feel stressed would watch movie alone walk street alone
i slough off the carapace of crud that has enveloped me for the past thirty odd hours i feel invigorated and finally ready to face the day,joy,slough carapace crud enveloped past thirty odd hour feel invigorated finally ready face day
i discovered that it gave me a great feeling of satisfaction to produce a blog post a delicious dish a few photos a written recipe that tangible job completed feeling that s rare in my life as a stay at home mom,joy,discovered gave great feeling satisfaction produce blog post delicious dish photo written recipe tangible job completed feeling rare life stay home mom
